precio,superficie_total,superficie_util,dormitorios,banos,estacionamientos,tipo
24000,1043,402,5,5,6,Casa
24800,635,356,6,6,4,Casa
17500,450,288,4,3,0,Casa
25900,1019,1019,4,4,4,Casa
29000,1014,1,6,4,2,Casa
29000,1040,300,6,4,2,Casa
19613.54773,196,510,6,4,2,Casa
14000,692,224.84,6,4,4,Casa
25900,1000,450,5,6,5,Casa
17300,1050,280,5,5,10,Casa
21000,1180,380,6,4,0,Casa
12900,420,210,4,3,2,Casa
24900,356,635,6,5,4,Casa
17500,450,288,4,4,0,Casa
19900,700,300,5,5,4,Casa
12900,389,178,4,4,2,Casa
18499,650,295,5,3,4,Casa
26000,1000,450,5,6,0,Casa
19900,1030,270,5,5,6,Casa
34000,850,425,4,4,6,Casa
19500,578,250,4,4,2,Casa
12500,350,145,5,4,1,Casa
29000,1000,470,6,6,3,Casa
18990,1000,399,5,5,6,Casa
28000,1000,450,5,4,5,Casa
24900,635,356,6,6,4,Casa
28500,1019,300,7,4,0,Casa
27900,1040,325,4,4,4,Casa
12500,249,200,5,4,2,Casa
12500,280,180,5,4,2,Casa
17300,1050,280,5,5,5,Casa
18350,1050,245,4,4,0,Casa
26000,635,356,6,7,0,Casa
27900,1040,310,5,4,0,Casa
19800,1000,400,4,3,5,Casa
12500,245,1,5,3,2,Casa
28000,1285,492,5,6,6,Casa
17500,380,220,3,2,4,Casa
28000,1290,4904,4,6,6,Casa
10800,160,235,4,3,2,Casa
26000,1000,450,5,6,0,Casa
17500,450,288,5,3,5,Casa
22000,609,266,5,5,3,Casa
17500,450,288,4,3,2,Casa
26500,1000,450,5,6,0,Casa
26400,606,376,5,5,3,Casa
29000,1020,300,5,4,0,Casa
25500,850,521,4,6,5,Casa
24250,630,317,5,5,0,Casa
14500,380,140,3,3,2,Casa
12950,389,178,4,4,2,Casa
18000,500,200,4,2,0,Casa
9000,300,140,4,3,2,Casa
28000,1040,300,5,3,4,Casa
12500,400,200,5,4,2,Casa
15000,500,217,5,4,2,Casa
11500,240,175,4,4,2,Casa
26000,1000,450,6,5,5,Casa
22000,600,262,3,3,2,Casa
15000,510,270,7,5,3,Casa
11900,249,220,5,4,2,Casa
20000,1050,355,6,5,0,Casa
21000,1000,280,4,4,3,Casa
14000,690,280,6,4,2,Casa
12500,250,200,5,4,2,Casa
17350,1050,232,5,5,5,Casa
13800,400,196,5,4,0,Casa
13000,420,200,4,3,3,Casa
11950,249,220,4,5,2,Casa
15300,500,200,5,4,3,Casa
12500,277,180,5,4,0,Casa
28000,1000,300,6,4,2,Casa
26870.56039,1285,493,5,7,10,Casa
19500,578,250,5,5,2,Casa
14500,510,280,6,4,0,Casa
11441.23618,550,260,5,3,0,Casa
21000,795,300,6,5,4,Casa
25000,1136,325,4,4,4,Casa
26000,1000,450,5,6,0,Casa
14000,300,140,4,4,2,Casa
17500,1050,280,5,5,5,Casa
23600,1000,380,7,5,6,Casa
12500,490,180,4,4,0,Casa
28500,1019,300,7,4,3,Casa
18900,1000,399,5,6,0,Casa
28000,1084,345,3,4,0,Casa
12000,248,202,4,5,3,Casa
19220,1000,399,5,5,8,Casa
26000,1000,450,5,5,0,Casa
19500,578,250,5,5,2,Casa
14500,505,318,5,4,5,Casa
23000,1070,230,6,5,6,Casa
26000,356,635,5,6,4,Casa
12500,245,200,5,4,2,Casa
19000,800,247,5,5,6,Casa
30000,1100,480,5,5,0,Casa
27900,1040,310,6,5,4,Casa
11950,310,210,5,5,2,Casa
28500,1173,362.5,6,3,6,Casa
29500,1040,350,5,5,0,Casa
28000,1050,525,5,5,0,Casa
2950,34,34,1,1,1,Casa
28000,1040,520,5,5,4,Casa
13000,400,220,5,3,3,Casa
24900,635,356,6,6,4,Casa
21000,1040,276,4,3,0,Casa
15460,800,195,5,4,3,Casa
19900,690,300,5,5,0,Casa
24000,1043,400,6,6,7,Casa
25900,1019,287,4,4,4,Casa
25900,1019,287,4,4,4,Casa
23600,1000,380,6,5,6,Casa
26000,635,356,5,6,4,Casa
29000,1200,320,4,4,0,Casa
26000,1000,450,5,6,4,Casa
12900,415,200,5,3,3,Casa
11500,270,150,4,4,2,Casa
22500,1200,323,5,4,0,Casa
28000,1050,525,5,5,0,Casa
19900,1400,400,5,5,7,Casa
13000,315,200,4,3,3,Casa
18900,1000,400,5,5,5,Casa
24900,635,356,6,6,4,Casa
30000,1040,300,5,3,0,Casa
12000,300,150,4,4,2,Casa
21900,1054,270,4,4,0,Casa
13600,424,252,4,4,3,Casa
14500,320,279,6,4,4,Casa
14500,505,329,5,4,0,Casa
13000,510,241,6,4,4,Casa
27000,1050,280,6,5,6,Casa
28000,1050,525,5,5,0,Casa
12000,300,200,6,5,3,Casa
8088,200,108,4,3,2,Casa
25000,1037,400,6,5,6,Casa
13890,600,300,6,4,0,Casa
28000,1285,492,5,4,8,Casa
17500,450,288,5,3,5,Casa
19900,700,300,6,5,6,Casa
26000,1000,450,5,6,5,Casa
18500,650,250,5,4,3,Casa
25000,1000,300,5,4,0,Casa
12500,489,177,5,5,0,Casa
26000,1000,450,5,6,0,Casa
26000,1000,450,5,6,4,Casa
28500,1160,363,6,4,0,Casa
18200,592,300,4,5,0,Casa
30000,1040,300,6,4,0,Casa
25000,1100,750,5,4,4,Casa
29000,1019,300.55,5,3,2,Casa
26700,1160,363,6,4,8,Casa
24400,630,317,5,5,2,Casa
25000,1000,445,5,4,0,Casa
29000,398,398,6,7,4,Casa
26000,1000,450,5,6,0,Casa
26300,611.17,330,5,5,2,Casa
4290,130,120,3,2,2,Casa
25824.50451,1050,430,7,8,3,Casa
14600,390,196,3,3,3,Casa
14500,620,300,4,4,0,Casa
8100,413,190.72,7,3,4,Casa
7845.419092,220,150,4,3,2,Casa
24000,1060,350,8,4,4,Casa
12000,300,150,4,4,2,Casa
15000,588,330,6,4,3,Casa
24800,635,356,6,6,4,Casa
18500,650,250,4,4,2,Casa
25900,1000,450,6,6,5,Casa
24900,635,356,6,6,4,Casa
17200,515,138,3,3,2,Casa
7845.419092,435,200,5,2,0,Casa
15800,800,254,5,4,0,Casa
15000,550,200,5,4,0,Casa
12950,378,178,4,4,2,Casa
28500,1173,362,7,5,0,Casa
29000,1014,300,6,4,4,Casa
18499,685,270,5,5,5,Casa
25400,605.77,330,4,4,4,Casa
25900,650,330,4,4,4,Casa
25400,605.77,330,4,4,4,Casa
24500,1000,450,8,6,0,Casa
13900,600,300,4,3,2,Casa
24000,1048,325,7,4,2,Casa
15000,550,200,4,3,0,Casa
23800,1000,400,7,5,6,Casa
25000,1000,341,6,5,4,Casa
10500,500,158,4,4,0,Casa
13500,402,180,3,4,2,Casa
16979,536,207,4,5,3,Casa
10100,500,231,12,3,0,Casa
7420.458892,230,145,4,4,2,Casa
14400,1024,200,3,3,6,Casa
10460.55879,240,140,3,2,4,Casa
10350,240,140,3,2,3,Casa
6864.741706,400,150,3,2,0,Casa
8300,125,142,4,3,1,Casa
7518.52663,240,116,4,3,2,Casa
0.16998408,1705,60,2,3,0,Casa
5900,200,140,4,3,0,Casa
6864.741706,400,150,3,2,0,Casa
3595.817084,125,120,3,2,1,Casa
4000,190,121,3,2,3,Casa
8300,243,116,4,2,1,Casa
7518.52663,250,230,7,4,2,Casa
7845.419092,110,110,4,2,1,Casa
9479.881403,6000,1402,3,2,10,Casa
5400,300,105,4,2,2,Casa
7518.52663,240,111.6,4,3,2,Casa
5990,195,166,7,3,4,Casa
12000,800,250,5,4,2,Casa
7518.52663,500,223,5,3,5,Casa
7650,240,111,4,3,2,Casa
8172.311555,320,154,3,3,3,Casa
12200,850,250,4,3,3,Casa
10460.55879,678,183.91,6,5,0,Casa
21248.01004,350,138,4,2,2,Casa
7986,250,240,7,3,2,Casa
8300,300,150,4,3,1,Casa
16500,1200,400,6,5,0,Casa
10700,1119,120,4,2,0,Casa
95000,3900,254,6,2,0,Casa
12000,800,200,4,3,2,Casa
6864.741706,400,150,3,2,0,Casa
8300,300,150,4,2,1,Casa
25000,710,341,4,6,0,Casa
6864.741706,400,136,3,2,4,Casa
16800,1686,290,4,4,2,Casa
16200,1000,280,5,2,4,Casa
25000,710,341,4,6,2,Casa
12350,754,220,4,3,2,Casa
8270.379293,200,108,4,3,2,Casa
8172.311555,285,110,4,3,2,Casa
11768.12864,850,250,4,3,2,Casa
9400,200,140,4,3,2,Casa
17500,450,288,4,3,0,Casa
19590,2500,360,7,6,0,Casa
8300,140,190,4,2,1,Casa
9400,200,140,4,3,2,Casa
21500,1000,180,4,4,0,Casa
13300,5000,350,4,3,2,Casa
26900,1000,400,5,5,0,Casa
12164,850,250,4,3,3,Casa
30000,1800,250,5,4,5,Casa
12130,800,220,4,3,2,Casa
6700,700,700,4,2,3,Casa
7650,350,111,4,3,2,Casa
7650,240,111.6,4,3,2,Casa
11750,1350,295,6,4,6,Casa
16000,600,255,3,3,0,Casa
4931,301,90.46,5,3,2,Casa
8300,125,142,4,3,1,Casa
5183,228,90,4,2,1,Casa
7518.52663,250,160,6,3,0,Casa
3268.924622,65,55,2,1,1,Casa
7500,500,365,3,2,2,Casa
0.28406955,620,180,5,4,2,Casa
8172.311555,320,154,3,3,0,Casa
3595.817084,65,55,2,1,1,Casa
8300,300,140,4,3,2,Casa
6505.159998,330,124,4,2,1,Casa
3432.370853,55,55,2,1,1,Casa
14500,1000,260,5,5,4,Casa
8172.311555,320,154,3,3,3,Casa
11900,2500,350,5,4,0,Casa
13700,1000,240,4,4,4,Casa
3268.924622,60,55,2,1,1,Casa
8800,620,180,5,3,2,Casa
7191.634168,320,154,3,3,3,Casa
10400,1044,215.42,3,3,3,Casa
9152.988941,2500,250,5,3,6,Casa
6537.849244,440,150,2,1,2,Casa
4249.602008,65,55,2,1,0,Casa
12990,1330,229,4,4,4,Casa
26500,1000,500,5,5,4,Casa
13729.48341,640,180,5,3,0,Casa
21248.01004,350,138,4,3,2,Casa
18500,1580,250,5,3,0,Casa
13000,410,260,12,8,5,Casa
27000,5000,250,4,3,2,Casa
8700,529,190,2,4,4,Casa
22000,5000,400,4,4,0,Casa
6537.849244,440,127,5,2,4,Casa
3203.546129,80,60,2,1,1,Casa
9990,1000,203,3,3,3,Casa
9806.773866,2800,240,5,3,2,Casa
14200,450,289,5,3,2,Casa
8008.865324,300,120,4,2,1,Casa
16000,900,230,3,3,6,Casa
6537.849244,300,250,10,6,8,Casa
32000,5000,480,8,6,1,Casa
15800,800,450,6,4,4,Casa
7845.419092,250,240,7,4,3,Casa
5557.171857,105,90,3,2,1,Casa
6800,380,140,3,2,1,Casa
3300,47,36,1,1,1,Casa
5557.171857,350,100,4,1,0,Casa
7.191634168,250,240,7,4,1,Casa
5361.03638,180,110,4,4,0,Casa
7518.52663,250,240,7,4,2,Casa
8500,240,236,4,4,1,Casa
9840,525,190,4,4,2,Casa
4000,46,46,1,1,1,Casa
4249.602008,68,52,2,2,1,Casa
10500,600,200,4,4,4,Casa
5459.104119,130,110,4,4,1,Casa
4000,47,47,1,1,1,Casa
15800,700,298,5,6,4,Casa
18000,825,350,7,3,2,Casa
8500,240,238,5,4,1,Casa
7518.52663,250,240,5,3,2,Casa
4020.777285,45,35,1,1,1,Casa
12000,850,250,4,3,0,Casa
19000,800,350,7,3,2,Casa
7890,250,240,7,4,2,Casa
3910,46,46,1,1,1,Casa
4000,46,36,1,1,1,Casa
10460.55879,200,192,4,3,2,Casa
12000,350,148,4,2,2,Casa
12500,350,148,3,3,2,Casa
9806.773866,188,190,4,3,2,Casa
9479.881403,300,207,7,4,0,Casa
12500,350,149,5,3,0,Casa
12000,350,148,5,3,2,Casa
16900,430,180,3,3,2,Casa
10200,300,190,4,2,2,Casa
8172.311555,285,109,4,3,2,Casa
2679,100,96,5,2,1,Casa
8100,550,140,4,2,0,Casa
4249.602008,250,80,2,1,1,Casa
5230.279395,500,130,3,2,2,Casa
8139.622308,780,300,9,5,0,Casa
10000,5000,498,6,4,0,Casa
8139.622308,870,296,8,5,4,Casa
8498,786,300,2,2,0,Casa
8300,150,150,3,3,1,Casa
8300,220,150,3,3,1,Casa
11400,1300,238,5,3,4,Casa
20200,5200,660,4,5,3,Casa
11375.85768,5000,128,4,2,4,Casa
8300,200,142,3,3,1,Casa
8300,230,116,4,2,1,Casa
3890,220,165,6,2,3,Casa
15000,2000,200,4,4,6,Casa
2937,434,160,3,2,0,Casa
6864.741706,620,150,6,3,3,Casa
3105.478391,95,95,4,2,1,Casa
7191.634168,405,162,6,3,3,Casa
2549.761205,300,80,4,2,3,Casa
6047.51055,344,198,6,3,0,Casa
3644.850953,336,99,5,2,1,Casa
4184.223516,248,107,4,2,1,Casa
2811.275175,1020,109,4,3,0,Casa
2778.585929,200,90,4,2,2,Casa
5686,400,250,6,3,2,Casa
5520,500,110,5,2,4,Casa
3040.099898,400,120,4,1,3,Casa
3370,496,118,3,1,2,Casa
3857.331054,422,132,4,3,3,Casa
14000,1500,150,3,3,3,Casa
3530.438592,402,100,5,2,3,Casa
5250,410,130,5,2,2,Casa
3099,66,66,3,2,1,Casa
19000,350,350,6,5,1,Casa
11500,1800,140,3,2,0,Casa
2918,486,81,4,2,4,Casa
3922.709546,500,80,3,2,3,Casa
4576.494471,300,160,4,3,3,Casa
8989.54271,380,300,4,4,3,Casa
4576.494471,400,130,4,2,0,Casa
3922.709546,420,100,4,1,4,Casa
7200,405,163,6,3,3,Casa
4413.04824,100,77,3,2,2,Casa
2485,1000,70,3,1,0,Casa
2843.964421,450,140,5,2,3,Casa
20000,30000,280,5,4,0,Casa
4249.602008,320,110,5,2,3,Casa
12000,10000,350,5,4,0,Casa
6864.741706,1550,225,4,2,0,Casa
6531.311394,600,140,4,2,3,Casa
7240,1550,230,5,5,5,Casa
6374.403013,530,208,6,2,2,Casa
6864.741706,1012,224,10,5,9,Casa
3922.709546,400,110,2,2,4,Casa
3595.817084,291,104,5,1,6,Casa
7191.634168,1550,225,10,5,5,Casa
14383.26834,800,320,8,8,6,Casa
8172.311555,576,380,12,9,4,Casa
16000,900,300,3,3,0,Casa
14000,1530,250,2,3,4,Casa
4903.386933,433,156,3,3,6,Casa
9806.773866,560,277,6,5,2,Casa
6537.849244,680,200,4,2,2,Casa
4543.805224,570,90,3,2,3,Casa
11719.09477,2400,539,3,3,2,Casa
4860,400,90,3,2,5,Casa
8499.204017,850,500,14,13,6,Casa
7371.425022,570,225,1,1,10,Casa
35000,20000,500,10,10,10,Casa
4739.940702,400,98,3,2,1,Casa
7829.074469,400,77,3,2,2,Casa
6175,450,200,6,5,2,Casa
3595.817084,400,160,8,2,2,Casa
7453.148138,2000,160,3,2,15,Casa
4887.04231,1250,90,3,2,2,Casa
8597,600,125,4,2,2,Casa
2485,1000,70,3,1,0,Casa
8172.311555,600,280,20,10,8,Casa
14500,1083,266,5,4,0,Casa
16441,1560,480,20,14,15,Casa
2451.693466,200,72,3,1,0,Casa
1390,60,100,2,1,1,Casa
4576.494471,327,127,4,2,4,Casa
3922.709546,320,320,5,2,3,Casa
2745.896682,200,72,3,2,2,Casa
4903.386933,450,200,5,2,0,Casa
4887.04231,1250,90,3,2,2,Casa
7845.419092,490,15522,4,3,3,Casa
3922.709546,420,88,5,2,1,Casa
7924,350,120,2,2,4,Casa
2615.139697,225,140,6,3,1,Casa
2124.801004,200,80,4,3,2,Casa
4230,430,161,5,3,4,Casa
2124.801004,295,120,4,3,2,Casa
2222.868743,250,120,5,2,1,Casa
1471.01608,200,60,3,1,2,Casa
3922.709546,616,116,3,1,1,Casa
1144.123618,200,72,4,1,3,Casa
2451.693466,252,85,3,3,4,Casa
3105.478391,280,90,4,1,3,Casa
2222.868743,200,70,3,2,1,Casa
3268.924622,350,280,5,2,3,Casa
4249.602008,440,73,2,2,2,Casa
2680.51819,240,160,3,3,2,Casa
2582.450451,288,100,3,2,0,Casa
3922.709546,550,145,5,2,0,Casa
2124.801004,490,490,3,1,3,Casa
3432.370853,200,245,8,4,0,Casa
4320,472,115,4,2,2,Casa
4576.494471,760,180,5,3,4,Casa
2615.139697,277,106,6,2,1,Casa
2124.801004,400,72,4,2,2,Casa
2980,514,117,3,1,0,Casa
3500,200,85,3,2,1,Casa
4413.04824,480,300,4,1,3,Casa
1699.840803,200,60,3,1,2,Casa
20800,1000,400,20,15,15,Casa
3105.478391,980,130,4,2,5,Casa
1585.428442,200,120,5,2,2,Casa
5400,1881,136,3,2,0,Casa
4739.940702,248,246,15,7,0,Casa
6704,500,350,15,3,2,Casa
14810,19300,533,14,6,0,Casa
2451.693466,376,100,3,2,2,Casa
2450,182,65,3,1,2,Casa
5230.279395,800,488,8,5,10,Casa
15000,1200,400,11,11,6,Casa
4180,200,110,4,2,2,Casa
5790,250,136,3,2,0,Casa
5884.064319,480,389,5,3,2,Casa
3922.709546,336,77,3,2,2,Casa
4180,180,110,4,2,2,Casa
2778.585929,260,135,6,3,3,Casa
5884.064319,448,275,5,2,3,Casa
16441,1560,480,20,14,15,Casa
9100,1250,1250,4,3,7,Casa
3105.478391,338,60,3,1,3,Casa
4180,110,110,4,2,2,Casa
2350,128,86,3,2,0,Casa
4144,422.35,84,3,2,0,Casa
5400,560,94,2,2,0,Casa
7191.634168,585,171,3,2,3,Casa
13500,5000,249,5,4,9,Casa
14000,5000,330,6,5,9,Casa
3268.924622,391.84,58.22,3,1,6,Casa
2026.733266,6200,84,3,1,10,Casa
10500,5000,170,5,4,20,Casa
21000,10100,240,5,5,10,Casa
5000,320,140,5,2,2,Casa
1928.665527,370,100,5,1,0,Casa
3759.263315,160,87,3,3,4,Casa
5100,700,55,2,2,0,Casa
1209.50211,103,57,3,1,0,Casa
5230.279395,220,100,3,2,0,Casa
7191.634168,584,171,4,3,3,Casa
9385,3000,200,3,3,0,Casa
6425,5000,160,4,2,0,Casa
4800,200,98,3,3,2,Casa
7845.419092,5000,253,5,4,9,Casa
3759.263315,462.5,87.35,3,1,6,Casa
3040.099898,108,95,3,2,2,Casa
3268.924622,5088,172,3,2,0,Casa
3710.229446,160,88,3,3,4,Casa
1961.354773,130,90,4,2,2,Casa
6800,284,150,4,3,2,Casa
7976,1650,160,3,1,0,Casa
5491.793365,520,130,4,3,0,Casa
11441.23618,2182,420,5,3,0,Casa
5800,5000,140,4,3,99,Casa
9316.435172,5000,200,3,3,10,Casa
3922.709546,480,135,3,2,4,Casa
4870.697687,100,50,5,2,0,Casa
7845.419092,5000,253,4,3,7,Casa
4799,5000,120,3,2,0,Casa
7247,585,171,3,2,4,Casa
1961.354773,103,89,4,2,0,Casa
2026.733266,70,52,3,1,0,Casa
1405.637587,70,45,2,1,0,Casa
12912.25222,12600,306,5,4,0,Casa
2124.801004,300,102,3,1,1,Casa
14000,5000,380,5,4,6,Casa
7100,405,166,5,4,0,Casa
4903.386933,600,80,2,1,2,Casa
3988.088039,214.5,65,5,1,1,Casa
7022,607.4,147,4,4,3,Casa
3791.952561,150,90,3,3,1,Casa
3759.263315,160,87,3,3,4,Casa
4249.602008,684,90,3,2,3,Casa
7800,5600,120,4,3,3,Casa
6488.815374,190,183,4,3,3,Casa
11200,1309,437,6,5,2,Casa
35000,10000,590,6,6,0,Casa
4543.805224,410,200,3,2,0,Casa
9900,7000,230,4,3,0,Casa
11441.23618,987,275,5,2,3,Casa
8401.136278,345,145,5,2,4,Casa
2026.733266,180,80,2,1,1,Casa
5884.064319,5000,133,4,3,20,Casa
5500,5000,140,4,3,4,Casa
16553,12736,526,4,6,4,Casa
5230.279395,480,75,3,1,1,Casa
30000,10000,520,6,4,0,Casa
11000,10000,500,5,5,0,Casa
10300,5200,250,5,4,4,Casa
3432.370853,693,100,3,2,1,Casa
5800,7626,100,2,2,2,Casa
7191.634168,585,171,3,2,3,Casa
11441.23618,987,275,5,2,3,Casa
6374.403013,1700,200,8,3,3,Casa
6505.159998,438,133,3,2,2,Casa
6210.956782,5000,134,4,3,3,Casa
5230.279395,488,75,3,1,1,Casa
14000,5000,320,6,4,5,Casa
4543.805224,400,180,3,2,0,Casa
10950.89748,5000,280,3,3,3,Casa
7028.187937,2600,48,1,2,2,Casa
3890.0203,87,487,3,1,3,Casa
22000,6500,574,7,7,3,Casa
14000,5000,320,5,4,4,Casa
3595.817084,570,85,3,2,5,Casa
5884.064319,5000,155,4,2,0,Casa
6537.849244,2500,170,6,3,2,Casa
5884.064319,937,175,3,2,0,Casa
8750,5000,180,4,4,8,Casa
15037.05326,9000,360,5,3,4,Casa
8335.757786,343,157,4,2,3,Casa
11114.34371,1650,240,5,3,0,Casa
9000,190,190,5,3,5,Casa
10722.07276,5000,270,3,2,4,Casa
14000,1620,348,6,5,2,Casa
4086.155777,697,70,2,1,0,Casa
7191.634168,529,250,4,1,1,Casa
10950.89748,5000,370,3,3,4,Casa
10950.89748,5000,280,3,3,3,Casa
9000,5400,190,5,2,6,Casa
9152.988941,967,105,3,2,4,Casa
11900,2183,350,5,3,0,Casa
3950,7174,67,1,1,0,Casa
17500,5000,250,4,4,0,Casa
10150,5000,200,3,3,3,Casa
6900,1130,125,3,2,1,Casa
11441.23618,1200,170,5,2,0,Casa
2952,24,84,4,2,2,Casa
5851.375073,9097,141,3,2,1,Casa
14500,5800,350,5,5,5,Casa
11500,5000,180,5,3,9,Casa
11000,5200,250,4,3,0,Casa
3922.709546,227,65,3,1,0,Casa
12748.80603,5000,170,3,4,10,Casa
7800,5600,120,4,2,3,Casa
22000,6500,555,6,5,5,Casa
14100,40000,220,3,3,0,Casa
2680.51819,200,90,2,1,2,Casa
10500,7000,260,4,3,0,Casa
10460.55879,5000,220,3,2,6,Casa
4249.602008,400,157,3,1,1,Casa
6047.51055,421,139,4,2,2,Casa
10722.07276,3450,3450,6,3,10,Casa
3610,5000,90,1,3,0,Casa
10800,5000,160,4,4,3,Casa
7191.634168,529,250,4,1,3,Casa
7845.419092,529,250,4,1,3,Casa
3608,390,100,4,2,0,Casa
8000,5600,70,3,1,0,Casa
6500,6500,145,3,3,0,Casa
6300,5700,360,10,8,20,Casa
3202,111,60.81,3,2,0,Casa
3600,280,122,2,2,3,Casa
7806,385.32,256.3,5,2,1,Casa
1307.569849,85,49,2,1,1,Casa
6200,193,140,4,4,2,Casa
2250,128,128,3,1,1,Casa
3200,157,83,3,3,2,Casa
10300,1800,210,4,3,0,Casa
2549.761205,180,80,3,2,2,Casa
9980,552,196,4,3,2,Casa
4000,154,76,3,2,1,Casa
2250,86,128,2,2,1,Casa
4400,190,112,3,2,2,Casa
4000,220,120,3,1,1,Casa
9980,552,196,4,3,0,Casa
4500,348,102,4,2,0,Casa
2220,110,56,3,2,2,Casa
2778.585929,175.61,67.41,3,2,2,Casa
4249.602008,200,125,5,3,2,Casa
2900,125,108,4,2,1,Casa
2760,138,70,3,2,2,Casa
2982,180,82,5,2,3,Casa
8900,815,210,6,4,6,Casa
4350,200,110,3,3,2,Casa
7518.52663,395,131,2,1,0,Casa
6710,645,110,3,2,0,Casa
4400,160,120,3,2,2,Casa
2680,144,59,3,2,2,Casa
8000,850,200,4,3,3,Casa
5524.482611,751,238,7,5,9,Casa
9500,786,238,4,4,2,Casa
22000,5132,515,5,6,8,Casa
9741.395373,327,205,4,2,3,Casa
12800,6600,350,5,5,6,Casa
11500,850,270,4,3,4,Casa
8200,365,208,4,3,6,Casa
4470,225,112,4,2,2,Casa
19000,14700,1100,5,5,10,Casa
15000,500,350,3,3,0,Casa
11000,1394,250,4,4,4,Casa
7518.52663,395,131,3,3,1,Casa
8000,1076,220,4,3,1,Casa
15000,1800,400,5,4,3,Casa
42000,10641,457,6,6,10,Casa
6580,859,168,5,4,4,Casa
16700,8000,490,4,4,6,Casa
15000,2477,342,6,6,6,Casa
10990.543,5000,280,4,4,2,Casa
21248.01004,1440,540,5,2,10,Casa
3497.749345,180,230,7,3,1,Casa
4290,220,85,4,3,2,Casa
2942.03216,110,75,3,2,1,Casa
15000,1800,400,5,4,3,Casa
42000,10641,457,6,6,10,Casa
2600,150,90,3,2,2,Casa
10500,5000,170,5,4,20,Casa
5900,5600,140,3,2,4,Casa
7800,150,7000,2,2,6,Casa
4086.155777,2139,200,3,3,9,Casa
4903.386933,690,55,2,2,6,Casa
2206.52412,2305,86,2,1,2,Casa
4700,504.9,68.63,2,2,4,Casa
5557.171857,1500,130,4,2,3,Casa
8950,1322,220,4,3,8,Casa
8172.311555,5000,125,4,3,0,Casa
2222.868743,3700,120,3,1,1,Casa
7900,1700,200,5,3,0,Casa
5100,700,55,2,2,5,Casa
5100,2100,110,2,1,5,Casa
6210.956782,1289,200,9,6,5,Casa
5100,700,55,2,2,0,Casa
10550,8500,261,3,2,0,Casa
7000,570,229,3,2,2,Casa
9152.988941,2500,356,6,3,3,Casa
4739.940702,1280,55,3,1,0,Casa
2680.51819,104,90,3,2,0,Casa
7920,980,200,4,3,0,Casa
2451.693466,291,55,3,1,2,Casa
5100,700,60,2,2,3,Casa
4200,25000,80,3,2,4,Casa
8700,1311,211,3,3,3,Casa
55000,30000,700,9,8,29,Casa
4576.494471,585,95,3,2,3,Casa
11114.34371,1650,260,5,3,3,Casa
7355.080399,600,200,4,2,0,Casa
7191.634168,1700,200,8,3,5,Casa
10000,5250,200,6,4,0,Casa
6500,1200,120,3,2,6,Casa
13667,2580,200,4,4,4,Casa
4500,500,70,2,2,0,Casa
17000,5000,541,6,4,7,Casa
6766.673967,1000,92,3,2,5,Casa
14710.1608,800,138,6,3,4,Casa
4413.04824,1800,280,3,1,5,Casa
14600,5000,165,3,2,0,Casa
23000,10000,400,6,7,5,Casa
5900,600,105,4,2,3,Casa
6864.741706,360,180,4,2,0,Casa
10133.66633,5000,222,7,4,5,Casa
4249.602008,300,130,4,3,2,Casa
8215,5000,136,4,3,0,Casa
5884.064319,1000,110,3,3,2,Casa
6864.741706,360,180,4,2,2,Casa
15800,5245,500,6,5,6,Casa
10500,5000,200,5,5,8,Casa
17000,5000,560,6,5,10,Casa
5900,600,105,4,2,3,Casa
4576.494471,1000,55,2,2,0,Casa
13048,5000,400,9,6,12,Casa
6300,1000,110,3,3,0,Casa
25000,10000,620,5,4,0,Casa
5884.064319,1300,140,3,2,2,Casa
4903.386933,1000,60,2,1,2,Casa
12421.91356,5440,326,5,4,8,Casa
11500,5000,140,6,4,0,Casa
8891.474971,4600,203,5,4,0,Casa
3922.709546,170,140,3,3,0,Casa
16500,6000,270,4,4,3,Casa
5884.064319,2000,110,5,2,10,Casa
14710.1608,1150,290,6,5,2,Casa
7355.080399,700,220,4,2,3,Casa
11646,3200,170,5,3,10,Casa
9301,5000,126.38,4,3,0,Casa
14710.1608,800,190,6,3,0,Casa
9152.988941,5000,126,4,3,0,Casa
11800,1650,250,6,4,4,Casa
21084.56381,5000,358,7,6,2,Casa
11573,1650,250,5,3,5,Casa
3759.263315,300,125,4,2,0,Casa
10500,5000,200,5,4,0,Casa
9152.988941,1650,139,4,2,5,Casa
13729.48341,5000,229,5,4,6,Casa
5990,617,110,4,2,3,Casa
5500,4900,78,3,2,0,Casa
4640,1090,70,2,1,0,Casa
6500,1200,120,3,2,4,Casa
18300,120000,100,1,1,1,Casa
9152.988941,2600,143,3,2,4,Casa
13500,5150,338,4,3,4,Casa
18500,5000,300,3,2,0,Casa
17200,5000,346,8,6,10,Casa
11114.34371,1850,250,5,3,0,Casa
13000,630,194,3,3,0,Casa
13500,5000,340,4,4,0,Casa
6500,1200,120,3,2,7,Casa
11114.34371,1650,260,5,3,3,Casa
5000,2055,110,2,1,5,Casa
2680.51819,104,90,3,2,0,Casa
8500,5000,126,3,2,4,Casa
5393.725626,527,80,3,2,3,Casa
12800,5000,320,5,3,7,Casa
13000,630,192,3,3,0,Casa
3268.924622,1924,88,3,1,3,Casa
13000,630,194,3,3,0,Casa
12531,2581,138,5,5,0,Casa
11441.23618,9050,330,3,2,0,Casa
