precio,superficie_total,superficie_util,dormitorios,banos,estacionamientos,tipo
13500,256,160,4,2,3,Casa
5213.934772,132.6,104,3,2,0,Casa
13000,300,232,6,4,2,Casa
15200,526,146,3,3,0,Casa
13500,328,154,4,3,2,Casa
5760,160,140,5,2,0,Casa
4760,100,70,3,2,1,Casa
22000,500,280,5,5,2,Casa
2778.585929,100,95,4,3,1,Casa
12000,245,149,4,4,2,Casa
12900,290,180,5,3,2,Casa
6100,150,150,6,4,1,Casa
29.4203216,140,140,3,2,1,Casa
18000,300,272,4,3,2,Casa
4350,96,62,3,2,0,Casa
14500,300,170,4,3,2,Casa
14.38326834,63,63,4,1,0,Casa
6400,258,114,4,2,2,Casa
3730,160,70,3,1,2,Casa
5000,171,135,6,2,2,Casa
8550,246,193,6,3,3,Casa
6600,100,200,4,3,4,Casa
16200,477,150,5,3,2,Casa
8790,200,160,4,4,0,Casa
3759.263315,300,75,4,1,2,Casa
2124.801004,90,80,3,1,1,Casa
7500,115,360,11,5,0,Casa
8900,207,190,6,3,2,Casa
7500,120,130,4,3,1,Casa
8300,200,150,3,1,2,Casa
4350,122,100,3,2,2,Casa
6895,82,122,4,3,1,Casa
2615.139697,108,100,7,3,0,Casa
2800,60,60,1,1,1,Casa
4700,105,172,5,3,0,Casa
6100,128,128,3,3,0,Casa
4720,208,79,3,1,6,Casa
20000,510,274,3,4,2,Casa
8826.096479,180,240,5,4,2,Casa
6900,140,187,6,3,0,Casa
6800,175,119.34,4,3,2,Casa
1960,60,60,5,1,0,Casa
9500,400,140,4,4,1,Casa
14500,290,190,4,4,2,Casa
10000,266,278,6,2,0,Casa
6200,88,88,4,2,1,Casa
5510,140,140,4,2,2,Casa
17000,448,252,5,4,2,Casa
8800,140,140,4,4,0,Casa
8550,208,204,7,3,2,Casa
15800,380,200,4,3,2,Casa
8200,200,200,6,3,2,Casa
9350,180,240,5,4,3,Casa
8750,115,200,5,3,1,Casa
7000,150,125,3,3,0,Casa
10900,203,120,4,2,2,Casa
10000,419,190,4,4,2,Casa
6300,120,160,3,3,1,Casa
5700,150,145,4,3,1,Casa
19000,5850,480,6,5,0,Casa
3650,96,96,5,2,1,Casa
25000,600,300,5,4,3,Casa
7320,160,120,3,2,2,Casa
12500,300,170,5,4,2,Casa
21000,400,284,5,5,4,Casa
7200,300,250,4,3,2,Casa
5300,160,93,3,3,1,Casa
16000,400,282,5,4,2,Casa
7500,173,173,4,3,2,Casa
24900,750,440,5,5,2,Casa
6864.741706,190,150,5,2,0,Casa
15500,404,233,4,3,2,Casa
5524.482611,200,164,3,3,0,Casa
14700,300,144,6,5,6,Casa
3300,78,78,3,2,1,Casa
3922.709546,300,99,3,2,3,Casa
7300,200,170,3,3,1,Casa
17500,400,220,4,5,3,Casa
16990,450,252,4,3,2,Casa
14000,400,235,4,3,2,Casa
1994.044019,196,90,3,1,0,Casa
25000,600,360,11,7,3,Casa
21000,510,274,3,3,2,Casa
2353.625728,80,80,4,1,1,Casa
13000,351,134,5,3,2,Casa
11200,320,142,4,3,2,Casa
14850,390,200,4,3,2,Casa
8334,200,200,4,2,1,Casa
4903.386933,300,200,10,6,6,Casa
