,ID,uf,m2_const,sup_terreno,dormitorios,baños,estacionamientos,bodegas,d_casa,d_proyecto,COMUNA,longitud,latitud
11975,11976,2794.0,43.7,43.7,2,1,1,0,0,0,13106,-70.6979971,-33.4499878
11976,11977,1800.0,30.0,30.0,1,1,1,0,0,0,13106,-70.6912284,-33.4571174
11977,11978,2245.0,44.0,44.0,2,1,0,0,0,0,13106,-70.6978065,-33.4504388
11978,11979,1950.0,34.0,34.0,1,1,0,0,0,0,13106,-70.6916876,-33.4551393
11979,11980,2350.0,40.0,40.0,2,1,1,0,0,0,13106,-70.6914833,-33.4560412
11980,11981,1561.0,24.7,24.7,1,1,0,0,0,0,13106,-70.6979971,-33.4499878
11981,11982,2433.0,43.7,43.7,2,1,0,0,0,0,13106,-70.6979971,-33.4499878
11982,11983,1620.0,29.0,29.0,1,1,0,0,0,0,13106,-70.6959152,-33.4538269
11983,11984,2690.0,35.0,35.0,1,1,0,0,0,0,13106,-70.6928841,-33.4540362
11984,11985,1680.0,25.0,25.0,1,1,0,0,0,0,13106,-70.6938268,-33.453221
11985,11986,2242.0,40.0,40.0,2,1,0,0,0,0,13106,-70.6977809,-33.450314
11986,11987,1400.0,22.0,22.0,1,1,0,0,0,0,13106,-70.6906815,-33.4572678
11987,11988,1450.0,54.0,54.0,1,1,0,0,0,0,13106,-70.691864,-33.4560127
11988,11989,1380.0,25.0,25.0,1,1,0,0,0,0,13106,-70.6914163,-33.455999
11989,11990,1760.0,36.24,36.24,1,1,0,0,0,0,13106,-70.6930039,-33.4529539
11990,11991,2000.0,30.0,30.0,1,1,0,0,0,0,13106,-70.6965131,-33.4512446
11991,11992,2350.0,48.0,48.0,2,1,0,0,0,0,13106,-70.6977809,-33.450314
11992,11993,2390.0,49.0,49.0,2,1,0,0,0,0,13106,-70.6977809,-33.450314
11993,11994,2089.0,40.0,40.0,2,1,1,0,0,0,13106,-70.6978065,-33.4504388
11994,11995,1646.336345,32.0,32.0,1,1,0,0,0,0,13106,-70.6913351,-33.4559283
11995,11996,2803.0,51.0,51.0,2,2,1,0,0,0,13106,-70.6911517,-33.4546519
11996,11997,2420.0,45.0,45.0,2,2,0,0,0,0,13106,-70.6930039,-33.4529539
11997,11998,1875.0,30.7,30.7,1,1,1,0,0,0,13106,-70.6978065,-33.4504388
11998,11999,2200.0,47.0,47.0,2,1,0,0,0,0,13106,-70.6913386,-33.4550105
11999,12000,1500.0,54.0,54.0,1,1,0,0,0,0,13106,-70.691864,-33.4560127
12000,12001,1329.0,22.0,22.0,1,1,0,0,0,0,13106,-70.6977809,-33.450314
12001,12002,1290.0,21.0,21.0,1,1,0,0,0,0,13106,-70.6960116,-33.4537528
12002,12003,2200.0,41.0,41.0,2,1,0,0,0,0,13106,-70.6906441,-33.4570879
12003,12004,1700.0,28.11,28.11,1,1,1,0,0,0,13106,-70.6912284,-33.4571174
12004,12005,2200.0,42.0,42.0,2,1,0,0,0,0,13106,-70.6941867,-33.4509478
12005,12006,1480.0,26.0,26.0,1,1,0,0,0,0,13106,-70.6949615,-33.451458
12006,12007,1356.072298,24.0,24.0,1,1,0,0,0,0,13106,-70.6979971,-33.4499878
12007,12008,1730.0,28.51,28.51,1,1,1,0,0,0,13106,-70.6922926,-33.454143
12008,12009,1830.0,30.7,30.7,1,1,1,0,0,0,13106,-70.6978065,-33.4504388
12009,12010,2362.0,37.0,37.0,2,1,0,0,0,0,13106,-70.6978065,-33.4504388
12010,12011,1700.0,28.0,28.0,1,1,0,0,0,0,13106,-70.6922926,-33.454143
12011,12012,1265.0,22.0,22.0,1,1,0,0,0,0,13106,-70.6906433,-33.4570885
12012,12013,1540.0,29.0,29.0,1,1,0,0,0,0,13106,-70.6979971,-33.4499878
12013,12014,1900.0,34.0,34.0,1,1,0,0,0,0,13106,-70.691752,-33.4550495
12014,12015,1850.0,36.4,36.4,2,1,0,0,0,0,13106,-70.6922926,-33.454143
12015,12016,3305.0,52.09,52.09,2,1,0,0,0,0,13106,-70.6909855,-33.4545443
12016,12017,2347.0,44.0,44.0,2,1,0,0,0,0,13106,-70.6978065,-33.4504388
12017,12018,2608.0,43.0,43.0,2,1,1,0,0,0,13106,-70.6911517,-33.4546519
12018,12019,2421.557675,50.0,50.0,2,1,0,0,0,0,13106,-70.6917895,-33.4548503
12019,12020,1756.4365,33.0,33.0,1,1,0,0,0,0,13106,-70.6930039,-33.4529539
12020,12021,1452.934605,23.0,23.0,1,1,0,0,0,0,13106,-70.6943268,-33.4512356
12021,12022,1512.0,24.7,24.7,1,1,0,0,0,0,13106,-70.6979971,-33.4499878
12022,12023,3550.0,59.19,59.19,2,2,0,0,0,0,13106,-70.6909855,-33.4545443
12023,12024,1857.0,29.8,29.8,1,1,0,0,0,0,13106,-70.6978065,-33.4504388
12024,12025,2200.0,40.0,40.0,2,1,0,0,0,0,13106,-70.6969004,-33.4540468
12025,12026,2421.557675,53.0,53.0,2,2,1,0,0,0,13106,-70.6914444,-33.4552956
12026,12027,2100.0,47.0,47.0,2,1,0,0,0,0,13106,-70.694287,-33.451212
12027,12028,4000.0,56.0,56.0,3,2,0,0,0,0,13106,-70.6963677,-33.4530401
12028,12029,1900.0,31.0,31.0,1,1,0,0,0,0,13106,-70.6955704,-33.4534961
12029,12030,1500.0,22.0,22.0,1,1,0,0,0,0,13106,-70.6902009,-33.4569143
12030,12031,2521.0,110.0,110.0,2,1,0,0,0,0,13106,-70.6913223,-33.4565239
12031,12032,2800.0,50.0,50.0,2,2,1,0,0,0,13106,-70.6918482,-33.4550301
12032,12033,2100.0,36.0,36.0,1,1,0,1,0,0,13106,-70.6951829,-33.4566712
12033,12034,1419.0,22.0,22.0,1,1,0,0,0,0,13106,-70.6977809,-33.450314
12034,12035,2048.0,29.8,29.8,1,1,0,0,0,0,13106,-70.6978065,-33.4504388
12035,12036,2290.0,40.0,40.0,2,1,0,0,0,0,13106,-70.6977809,-33.450314
12036,12037,1711.23409,34.0,34.0,1,1,0,0,0,0,13106,-70.6917788,-33.4548512
12037,12038,1700.0,32.12,32.12,1,1,0,0,0,0,13106,-70.6943268,-33.4512356
12038,12039,1700.0,31.0,31.0,1,1,0,0,0,0,13106,-70.6907146,-33.4570594
12039,12040,2245.0,43.5,43.5,2,1,0,0,0,0,13106,-70.6978065,-33.4504388
12040,12041,2507.0,42.0,42.0,2,1,0,0,0,0,13106,-70.6951295,-33.4538943
12041,12042,1226.922555,20.0,20.0,1,1,0,0,0,0,13106,-70.6941502,-33.4529425
12042,12043,1775.808962,36.0,36.0,2,1,0,0,0,0,13106,-70.6912284,-33.4571174
12043,12044,1900.0,29.6,29.6,1,1,0,0,0,0,13106,-70.692607,-33.4562876
12044,12045,2600.0,56.0,56.0,2,2,0,0,0,0,13106,-70.696674,-33.451741
12045,12046,1920.0,35.0,35.0,1,1,0,0,0,0,13106,-70.6930039,-33.4529539
12046,12047,10980.0,48.0,48.0,2,2,0,0,0,0,13106,-70.6918085,-33.4544509
12047,12048,1750.0,32.12,32.12,1,1,0,0,0,0,13106,-70.6943268,-33.4512356
12048,12049,2200.0,43.0,43.0,2,1,0,0,0,0,13106,-70.6946495,-33.4583387
12049,12050,1827.0,36.24,36.24,1,1,0,0,0,0,13106,-70.6933606,-33.4530067
12050,12051,2250.0,43.0,43.0,2,1,0,0,0,0,13106,-70.6934893,-33.4521014
